Source,Destination,Weight,Source_Name,Destination_Name
UCoYiy7-bhMBSmjE_McbVRdA,UCOtYf0KC_w67do1xXoP4gvw,2,@brynoreilly2731,@mousermind
UCsPIxb77FmxpRUpGna5oIGQ,UChjrcIZAqwMimNekU3a8wTQ,2,@danrayson,@GingerSpice414
UCqBlp7td9wMb2gOzZmk1r0A,UCKPgLQb1Nli3iyNRFRGpttg,2,@kingkazuma2239,@mms3453
UC8ES4pKAZw-fjM_P_64_EmA,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@isabelle9773,@IgorReminnyi
UCuo1nMCRCN09qF3bfTKo9aw,UCrgRBctqRU_V7bWn9EnsPmQ,2,@jorgejohnson875,@aenlorOfficial
UCPhQ8i5y246G7yenG8G3FNA,UC3k8MpT0-L_7nv1Ctym1SuA,2,@NamesDemeanUsBoth,@NetanyaBK
UCqAGVtHxG0ryk_JWMdrBPTg,UCHoc4JfXcXYEWA9GCvRlSVg,2,@lucastol1069,@Brandypop
UC9dBNzBCzPUJ4i4CpL9YxhA,UCPIqp7ccwHdiygGLd0Hyjig,2,@isaacm4159,@davidp.7620
UCE1CthPjGlaSkkPqtYltTQw,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@hamisumuhammad2166,@IgorReminnyi
UCSIhu0aWOgmH1HwfoUrGuiA,UCwicfou4Ewu-koikmga-bEg,2,@shanewright2213,@AI_In_Context
UCubwrfi4Vfk-gdM4BBtoSJg,UCgRTIEUymGwTRuDsG0n8rdw,2,@mrping2603,@FrankLindsey757
UCs_StTJeP8Zew2KQcizKlyw,UCKuwVYGcFCDG38M3whyRNLw,2,@7mzam7md48,@wesleychou8148
UCDxJ8uEdZ-is2AWNyAWZM3w,UCat_wR5Xepjw7tCn8_9KgUA,2,@DaniloNaiff,@madixj
UCpofoMi2IJc5CNOwHtV3P_Q,UC8FngGvVHDOvwaFR4QGUP4A,2,@u.ser456,@Clemetroll
UC9QtMR9ksH_UBlu61vi64bg,UCKPgLQb1Nli3iyNRFRGpttg,2,@Ecoflowcleaningservices,@mms3453
UCDuImBCDkBri_fYPt6aQhvA,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@jahvongrey5663,@IgorReminnyi
UCfq46xKo-TnU4KRafMOS7AQ,UCOPKNbr1DXMFzCxK9QpKaGQ,2,@sealofakatosh,@IgorReminnyi
UCfqq-EoDp0SV15bmJBGHIkw,UC6IHW3tnXZzB4nuc1s_Mw8A,2,@m2km7k,@razwimk6671
UCMuIlcB5Vz8yR__KlzdRFUw,UCMEsOPFHyPagdta40n6ccHQ,2,@tessellaa,@TomLQ
UCpofoMi2IJc5CNOwHtV3P_Q,UCMPC0nm1ZDLYWY7cdbQYG3w,2,@u.ser456,@Redrumy0
UC6OFeLsaH1E7H9jW5EFrRsQ,UCS09Xfw38xWBGJDETuzhJZA,2,@WhatWhy42,@y_x__i
